"TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX"
"20090101090037,1,80,18,1,0,0,0"
"20090101090037,2,80,20,2,0,0,0"
"20090101090064,1,38,19,2,0,0,0"
"20090101090070,1,39,18,2,0,0,0"
"20090101090070,2,17,22,1,0,0,0"
"20090101090070,3,13,22,2,0,0,0"
"20090101090504,1,64,18,2,0,0,0"
"20090101090504,2,78,20,1,0,0,0"
"20090101090518,1,77,19,2,0,0,0"
"20090101090554,1,61,18,2,0,0,0"
"20090101090554,2,57,20,1,0,0,0"
"20090101090554,3,35,22,2,0,0,0"
"20090101090572,1,57,18,2,0,0,0"
"20090101090572,2,60,20,1,0,0,0"
"20090101090611,1,43,18,2,0,0,0"
"20090101090611,2,42,21,1,0,0,0"
"20090101090611,3,19,22,1,0,0,0"
"20090101090611,4,17,40,2,0,0,0"
"20090101090615,1,33,19,1,0,0,0"
"20090101090637,1,73,19,2,0,0,0"
"20090101090640,1,24,19,2,0,0,0"
"20090101090643,1,28,19,2,0,0,0"
"20090101090644,1,48,19,1,0,0,0"
"20090101090679,1,43,18,1,0,0,0"
"20090101090679,2,36,20,2,0,0,0"
"20090101090705,1,39,18,1,0,0,0"
"20090101090705,2,39,20,2,0,0,0"
"20090101090705,3,15,22,2,0,0,0"
"20090101090724,1,47,18,2,0,0,0"
"20090101090724,2,30,20,1,0,0,0"
"20090101090724,3,15,22,1,0,0,0"
"20090101090724,4,13,22,2,0,0,0"
"20090101090755,1,54,18,2,0,0,0"
"20090101090755,2,53,20,1,0,0,0"
"20090101090788,1,67,18,1,0,0,0"
"20090101090788,2,63,20,2,0,0,0"
"20090101090790,1,48,18,2,0,0,0"
"20090101090790,2,47,20,1,0,0,0"
"20090101090790,3,8,22,2,0,0,0"
"20090101090793,1,54,19,2,0,0,0"
"20090101090798,1,66,18,2,0,0,0"
"20090101090798,2,69,20,1,0,0,0"
"20090101090819,1,34,18,1,0,0,0"
"20090101090819,2,33,20,2,0,0,0"
"20090101090819,3,7,22,2,0,0,0"
"20090101090819,4,5,22,1,0,0,0"
"20090101090845,1,35,18,2,0,0,0"
"20090101090845,2,36,20,1,0,0,0"
"20090101090845,3,14,22,2,0,0,0"
"20090101090845,4,8,22,2,0,0,0"
"20090101090845,5,2,22,2,0,0,0"
"20090101090845,6,0,22,1,0,0,0"
"20090101090878,1,66,18,2,0,0,0"
"20090101090878,2,68,20,1,0,0,0"
"20090101090908,1,73,18,2,0,0,0"
"20090101090908,2,80,20,1,0,0,0"
"20090101090944,1,72,18,2,0,0,0"
"20090101090944,2,70,20,1,0,0,0"
